time,vehicle x-position,vehicle y-position,vehicle z-position,velocity (m/s),revolutions per minute,roll (radians),pitch (radians),yaw (radians),water temperature (Celsius),velocity (m/s),rotation of the steering wheel,throttle,brake,clutch,airspeed,airflow speed,altitude,reverse,throttle,
0.0095000006258488,904.50745538075,-379.65125406696,43.233521360657,6.5231094135425,2693.7578054334,-0.0096174757927656,0.06419276446104,-0.085199296474457,83.421489097153,6.5231094135425,1.7860742628067,0.96450688738601,0,0,6.3548657161112,6.2398287170101,43.222597874353,0,0.96450688738601,
5.0230003194883,901.82358243354,-464.62027370464,43.086256187009,22.576251095426,5365.2570822852,-0.015417872928083,-0.0066905096173286,0.041840430349112,88.302785389872,22.576251095426,10.689540618033,0.13164290963854,0,0,22.56797039852,22.563910621155,43.092676130695,0,0.13164290963854,
10.04150063172,902.48128026491,-577.08630762342,40.426533045422,21.139327936112,4874.7974357069,0.016150616109371,-0.068850882351398,-0.21513336896896,89.034597907512,21.139327936112,-22.832404731482,0,0.78502195230006,0,21.424368718821,21.609040862723,40.471372027919,0,0,
15.102000985295,897.07211321354,-597.20149442787,40.087507078019,0.016130033354008,731.6097419162,0.0031006259378046,-0.0093112243339419,-0.32466676831245,88.279776576757,0.016130033354008,-3.5861396358756,0,0.3,0,0.011130963570827,0.0078887477958546,40.0875031316,0,0,
20.153501037508,897.07211802697,-597.20127331625,40.087583012892,0.0033868728043305,719.05261659807,0.003110938007012,-0.00926957372576,-0.32472321391106,88.347762768058,0.0033868728043305,-3.5539163689057,0,0.3,0,0.0021572137763124,0.00031021019200581,40.087582521676,0,0,
25.166501125321,897.0721164122,-597.20125958891,40.08758015563,0.0026098129425396,736.57045501399,0.0031263548880816,-0.0092749716714025,-0.32472607493401,88.421342990508,0.0026098129425396,-3.5516115314749,0,0.3,0,0.0019218338601969,9.637441347495e-05,40.087580568957,0,0,
30.200501243584,897.07211656266,-597.20125895954,40.087568984081,0.0020969363548007,725.92812878305,0.0031197783537209,-0.0092910723760724,-0.32472711801529,88.488400069306,0.0020969363548007,-3.5496559254194,0,0.3,0,0.0020332276312194,9.8543002936899e-05,40.087568480626,0,0,
35.256001296453,897.07211819082,-597.20126088071,40.087558042703,0.0017378062356212,741.8148517439,0.0031163203530014,-0.0093013746663928,-0.32472923398018,88.55931096213,0.0017378062356212,-3.5513464788243,0,0.3,0,0.0018861692591596,8.9132283436099e-05,40.0875577225,0,0,
40.319501365535,897.07211145461,-597.20125937876,40.087553786654,0.003122697955923,732.06848721628,0.0031247728038579,-0.0093096354976296,-0.3247287273407,88.628270360092,0.003122697955923,-3.553157925157,0,0.3,0,0.0020532050260716,0.00015051903598258,40.08755300844,0,0,
45.379001426511,897.07211038565,-597.20125996951,40.087557676635,0.0022251936843062,728.18810361207,0.0031024513300508,-0.0092951431870461,-0.32472759485245,88.697211319064,0.0022251936843062,-3.5542273646842,0,0.3,0,0.0021046744990099,7.4169025958025e-05,40.087559127758,0,0,
50.425001460128,897.07211380206,-597.20125958027,40.087559121448,0.0023315942842164,732.91995913063,0.0031060704495758,-0.0092911375686526,-0.32472774386406,88.767490204923,0.0023315942842164,-3.552641592403,0,0.3,0,0.0020228340171659,9.611716065459e-05,40.087561001958,0,0,
