time,engineLoad,outputTorqueState,instantEngineLoad,fundamentalFrequencyRPMCoefExhaust,lastOutputTorque,idleStartCoef,idleAVReadErrorRange,fastIgnitionErrorCoef,invTempRevLimiterRange,ignitionCoef,tempRevLimiterMaxAVOvershoot,hasFuel,starterMaxAV,overTorqueDamage,thermals: connectingRodBearingsDamaged,thermals: coolantTemperature,thermals: cylinderWallOverheatDamage,thermals: cylinderWallTemperature,thermals: cylinderWallsMelted,thermals: radiatorFanSpin,thermals: coolantEfficiency,thermals: coolantLeakRate,thermals: energyBlockToAir,thermals: energyCoolantToAir,thermals: energyCoolantToBlock,thermals: energyCylinderWallToBlock,thermals: energyCylinderWallToCoolant,thermals: energyCylinderWallToOil,thermals: energyExhaustToAir,thermals: energyOilSumpToAir,thermals: energyOilToAir,thermals: energyOilToBlock,thermals: energyToCylinderWall,thermals: energyToExhaust,thermals: energyToOil,thermals: engineBlockMelted,thermals: engineBlockOverheatDamage,thermals: engineBlockTemperature,thermals: engineEfficiency,thermals: exhaustTemperature,thermals: fanActive,thermals: headGasketBlown,thermals: oilOverheatDamage,thermals: oilTemperature,thermals: oilThermostatStatus,thermals: oilThermostatTemperature,thermals: pistonRingsDamaged,thermals: radiatorAirSpeed,thermals: radiatorAirSpeedEfficiency,thermals: thermostatStatus,thermals: thermostatTemperature,
0.0095000006258488,1,1,1,nil,361.08524316768,1,5.23598775,1,0.01515761364512,1,65.97344565,true,54.977871375,0,false,83.421489097153,0,86.577733667508,false,0,1,nil,25.241320123468,0,637.81810455068,273.99160634636,790.23187356379,5.4326871651843,2.9993338602715,8.5369959679652,0,0.14143488522844,1236.3910502524,1236.3910502524,45.322978565355,false,0,80.449315425635,0.27,94.25250499132,false,false,0,80.50008737383,0,110,false,5.0923797607422,0.25344831330991,0,91,
5.0230003194883,0.26807328543819,1,0.26807328543819,nil,92.045119063789,1,5.23598775,1,0.01515761364512,1,65.97344565,true,54.977871375,0,false,88.302785389872,0,90.053336366032,false,0,1,nil,29.141230216896,0,459.22097142549,179.94039853142,471.90843177958,4.6266884751669,130.14808745043,20.885707688005,0,-3.0836415136151,578.48422710196,578.48422710196,91.080758784502,false,0,86.290712398084,0.30048,210.56421774085,false,false,0,85.212856719141,0,110,false,18.054167175293,0.54619942712663,0,91,
10.04150063172,0,1,0,nil,0,1,5.23598775,1,0.01515761364512,1,65.97344565,true,54.977871375,0,false,89.034597907512,0,89.386148825049,false,0,1,nil,29.885379928953,0,230.83525863259,65.424693918441,97.070484205254,-0.072777276384008,204.1154935648,21.679179114656,0,4.1438134642585,32.584256615456,32.584256615456,87.834739502696,false,0,88.04631471435,0.1,233.41275108106,false,false,0,89.505019082635,0,110,false,17.118063354492,0.53297308637689,0,91,
15.102000985295,0.29715668349751,1,0.29715668349751,nil,53.207255480869,1,5.23598775,1,0.01515761364512,1,65.97344565,true,54.977871375,0,false,88.279776576757,0,88.398964879879,false,0,1,nil,97.657621085995,0,100.31071642305,38.876648929241,100.68006484352,-5.5516564585159,551.40519315575,13.400767511025,0,18.987568311302,145.86784698556,145.86784698556,42.531918533162,false,0,88.145304433716,0.31311183673469,223.45414097776,false,false,0,90.187051480088,0,110,false,0.00052378922700882,0.1,0,91,
20.153501037508,0.29879377832536,1,0.29879377832536,nil,53.005297245326,1,5.23598775,1,0.01515761364512,1,65.97344565,true,54.977871375,0,false,88.347762768058,0,88.465238027498,false,0,1,nil,105.63698894117,0,107.72819757823,41.742326526117,108.07413137165,-6.027688101105,512.65732204525,14.49668393672,0,20.587603894882,152.21643951481,152.21643951481,44.478408291014,false,0,88.214157273147,0.31311183673469,215.88039147481,false,false,0,90.26259089276,0,110,false,0.00024690427817404,0.1,0,91,
25.166501125321,0.30085259452723,1,0.30085259452723,nil,54.073982569613,1,5.23598775,1,0.01515761364512,1,65.97344565,true,54.977871375,0,false,88.421342990508,0,88.542248699895,false,0,1,nil,37.877851466239,0,39.630911405877,15.481435437824,40.45997514496,-2.1601213596282,161.62832513092,5.1985651996016,0,7.4092502051541,56.064643133937,56.064643133937,16.631570796255,false,0,88.283766739638,0.31311183673469,209.69912536491,false,false,0,90.341920887433,0,110,false,6.3436629716307e-06,0.1,0,91,
30.200501243584,0.29778705506852,1,0.29778705506852,nil,53.074212324288,1,5.23598775,1,0.01515761364512,1,65.97344565,true,54.977871375,0,false,88.488400069306,0,88.604837763022,false,0,1,nil,105.84511818366,0,109.75137557166,42.587673503659,110.44770012022,-6.0529056195564,404.5309652304,14.526961969866,0,20.713977268889,142.63510531006,142.63510531006,45.689311008548,false,0,88.352238925356,0.31311183673469,204.51992457766,false,false,0,90.413337400183,0,110,false,1.52015403728e-05,0.1,0,91,
35.256001296453,0.2952505227381,1,0.2952505227381,nil,53.266337053878,1,5.23598775,1,0.01515761364512,1,65.97344565,true,54.977871375,0,false,88.55931096213,0,88.683797842926,false,0,1,nil,104.36876726495,0,108.62523536325,42.810445595387,113.00905407705,-5.9607029761283,361.99366895517,14.324850348608,0,20.450735664108,160.46337433938,160.46337433938,46.589893217099,false,0,88.4218909701,0.31311183673469,200.10391659668,false,false,0,90.487781193924,0,110,false,1.5205009549391e-05,0.1,0,91,
40.319501365535,0.29660346627181,1,0.29660346627181,nil,53.149173971589,1,5.23598775,1,0.01515761364512,1,65.97344565,true,54.977871375,0,false,88.628270360092,0,88.747575380302,false,0,1,nil,106.05530874061,0,109.84799928968,42.968158025127,112.46568576941,-6.0733637908097,337.69252317983,14.55667144916,0,20.798180853937,148.78482309287,148.78482309287,45.337750419927,false,0,88.49167122195,0.31311183673469,196.3000010027,false,false,0,90.561094028615,0,110,false,1.5379747492261e-05,0.1,0,91,
45.379001426511,0.29511233104661,1,0.29511233104661,nil,52.720123359157,1,5.23598775,1,0.01515761364512,1,65.97344565,true,54.977871375,0,false,88.697211319064,0,88.821102546937,false,0,1,nil,104.57624903711,0,106.94520697453,42.485333604825,113.14846005007,-5.9910569463313,308.76494228551,14.35394568872,0,20.522290855283,158.63375284239,158.63375284239,46.128451574803,false,0,88.561594630821,0.31311183673469,193.01611246354,false,false,0,90.63466429694,0,110,false,1.4065534924157e-05,0.1,0,91,
