time,throttle,steering,clutch,parkingbrake,brake,
0.0090000005438924,0.95986547995125,-0.0049991149085232,0,0,0,
5.0255002863705,0.99476555919677,0.0013100741665019,0,0,0,
10.042000578716,0.011170162294027,0.15314094316711,0,0,0,
15.054500944912,0,0.76332815492121,0,1,0,
20.096501269378,0,0.76347283040335,0,1,0,
25.145501338877,0,0.76346044431745,0,1,0,
30.202001393773,0,0.76331213451742,0,1,0,
35.251501434483,0,0.76337397083025,0,1,0,
40.307501488365,0,0.76305728637961,0,1,0,
45.368001551367,0,0.76292500852279,0,1,0,
50.404001631774,0,0.76300408380535,0,1,0,
55.466501698829,0,0.76292582023351,0,1,0,
60.523501754738,0,0.76280834421212,0,1,0,
65.536001870409,0,0.76277538976843,0,1,0,
