time,throttle,steering,clutch,parkingbrake,brake,
0.0090000005438924,0.94527707724696,0.028313207018731,0,0,0,
2.026000129059,0.97738875868104,0.010434196122722,0,0,0,
4.0355002591386,0.14300888340142,0.046122211056774,0,0,0,
6.0450003845617,0.19591341049924,-0.017831715014732,0,0,0,
8.0620005046949,0.20625288382715,0.00068891427672906,0,0,0,
10.071000617929,0,-0.016095845818387,0,0,0.73755042330517,
12.084500736557,0,-0,0,1,0,
14.100000866689,0,-0,0,1,0,
16.146000991575,0,-0,0,1,0,
18.189001061954,0,-0,0,1,0,
20.24300106708,0,-0,0,1,0,
22.256001107395,0,-0,0,1,0,
